Feature,Importance
diff_1,0.5599865697240013
diff_7,0.24748516950819358
lag_7,0.0428578171745661
ema_7,0.02856271131837933
pct_change_7,0.025756571455639837
lag_1,0.015640719115015526
rolling_max_7,0.015103202877902993
pct_change_1,0.013568137893112594
rolling_std_14,0.007709215049921687
rolling_max_30,0.005467805075198927
ema_14,0.005466149226701315
rolling_max_14,0.004922035009616867
rolling_std_7,0.004482340807702816
rolling_mean_7,0.003406345091040956
lag_6,0.0016195750797602432
month_sin,0.00140996970432334
dayofyear_sin,0.0013861496784481017
lag_14,0.0013431912235435293
day,0.0012540868378858067
lag_2,0.0011021122069623417
